household_size,year,age_of_respondent,job_type,gender_of_respondent,education_level,country,relationship_with_head,cellphone_access,location_type,marital_status
9.0,2018.0,56.0,Remittance Dependent,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
4.0,2018.0,30.0,Farming and Fishing,Female,No formal education,Kenya,Head of Household,No,Rural,Married/Living together
2.0,2018.0,55.0,Farming and Fishing,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
4.0,2018.0,55.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
7.0,2018.0,39.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,23.0,Remittance Dependent,Male,Secondary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
4.0,2018.0,30.0,Formally employed Private,Female,Tertiary education,Kenya,Head of Household,Yes,Urban,Married/Living together
6.0,2018.0,35.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,No,Rural,Married/Living together
5.0,2018.0,35.0,Formally employed Government,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,23.0,Remittance Dependent,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
5.0,2018.0,58.0,Informally employed,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
6.0,2018.0,28.0,Self employed,Male,Secondary education,Kenya,Child,Yes,Urban,Single/Never Married
1.0,2018.0,19.0,Remittance Dependent,Female,Tertiary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
2.0,2018.0,63.0,Farming and Fishing,Male,Tertiary education,Kenya,Head of Household,Yes,Rural,Widowed
6.0,2018.0,68.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,21.0,Remittance Dependent,Male,Tertiary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
7.0,2018.0,16.0,Remittance Dependent,Female,Primary education,Kenya,Child,No,Rural,Single/Never Married
3.0,2018.0,31.0,Informally employed,Female,No formal education,Kenya,Head of Household,Yes,Rural,Divorced/Seperated
4.0,2018.0,42.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
1.0,2018.0,75.0,Other Income,Female,Primary education,Kenya,Head of Household,No,Rural,Widowed
9.0,2018.0,70.0,Remittance Dependent,Female,Primary education,Kenya,Head of Household,No,Rural,Widowed
2.0,2018.0,62.0,Farming and Fishing,Male,Tertiary education,Kenya,Head of Household,Yes,Urban,Married/Living together
2.0,2018.0,70.0,Remittance Dependent,Male,Primary education,Kenya,Head of Household,No,Urban,Married/Living together
6.0,2018.0,40.0,Informally employed,Female,No formal education,Kenya,Spouse,No,Rural,Married/Living together
10.0,2018.0,55.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,No,Rural,Married/Living together
5.0,2018.0,47.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,42.0,Remittance Dependent,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
9.0,2018.0,30.0,Farming and Fishing,Female,Primary education,Kenya,Other relative,No,Rural,Divorced/Seperated
7.0,2018.0,43.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
2.0,2018.0,46.0,Self employed,Male,Secondary education,Kenya,Head of Household,Yes,Urban,Divorced/Seperated
4.0,2018.0,39.0,Self employed,Male,Secondary education,Kenya,Head of Household,Yes,Urban,Married/Living together
5.0,2018.0,35.0,Informally employed,Female,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
7.0,2018.0,56.0,Farming and Fishing,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Divorced/Seperated
1.0,2018.0,39.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,57.0,Informally employed,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Widowed
2.0,2018.0,34.0,Formally employed Private,Female,Secondary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
8.0,2018.0,30.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,38.0,Farming and Fishing,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
5.0,2018.0,28.0,Remittance Dependent,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
2.0,2018.0,40.0,Informally employed,Female,Secondary education,Kenya,Head of Household,Yes,Urban,Married/Living together
4.0,2018.0,40.0,Informally employed,Female,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
4.0,2018.0,32.0,Remittance Dependent,Female,Primary education,Kenya,Head of Household,No,Rural,Married/Living together
7.0,2018.0,52.0,Formally employed Government,Female,Vocational/Specialised training,Kenya,Spouse,No,Rural,Married/Living together
8.0,2018.0,18.0,Remittance Dependent,Male,Primary education,Kenya,Child,No,Urban,Single/Never Married
5.0,2018.0,38.0,Formally employed Government,Male,Secondary education,Kenya,Head of Household,Yes,Urban,Married/Living together
6.0,2018.0,21.0,Remittance Dependent,Male,Vocational/Specialised training,Kenya,Other relative,Yes,Rural,Single/Never Married
4.0,2018.0,55.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,17.0,Remittance Dependent,Male,Secondary education,Kenya,Child,Yes,Rural,Single/Never Married
2.0,2018.0,70.0,Farming and Fishing,Female,Primary education,Kenya,Head of Household,Yes,Rural,Widowed
7.0,2018.0,32.0,Formally employed Government,Female,Vocational/Specialised training,Kenya,Spouse,Yes,Urban,Married/Living together
2.0,2018.0,40.0,Formally employed Private,Male,Secondary education,Kenya,Head of Household,Yes,Urban,Married/Living together
1.0,2018.0,53.0,Farming and Fishing,Female,Primary education,Kenya,Head of Household,Yes,Rural,Single/Never Married
4.0,2018.0,32.0,Farming and Fishing,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
1.0,2018.0,39.0,Formally employed Government,Male,Secondary education,Kenya,Head of Household,Yes,Urban,Married/Living together
6.0,2018.0,38.0,Farming and Fishing,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
4.0,2018.0,88.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,No,Rural,Married/Living together
2.0,2018.0,72.0,Informally employed,Male,No formal education,Kenya,Head of Household,No,Rural,Divorced/Seperated
4.0,2018.0,36.0,Informally employed,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,28.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
6.0,2018.0,18.0,Farming and Fishing,Female,No formal education,Kenya,Child,Yes,Rural,Single/Never Married
3.0,2018.0,70.0,Government Dependent,Female,No formal education,Kenya,Head of Household,No,Rural,Widowed
7.0,2018.0,18.0,Remittance Dependent,Female,Primary education,Kenya,Child,No,Rural,Single/Never Married
1.0,2018.0,26.0,Formally employed Private,Female,Primary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
2.0,2018.0,70.0,Farming and Fishing,Female,Primary education,Kenya,Head of Household,Yes,Urban,Widowed
6.0,2018.0,51.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
3.0,2018.0,20.0,Remittance Dependent,Female,No formal education,Kenya,Head of Household,Yes,Urban,Married/Living together
4.0,2018.0,26.0,Remittance Dependent,Female,Secondary education,Kenya,Spouse,Yes,Urban,Married/Living together
2.0,2018.0,49.0,Formally employed Government,Male,Tertiary education,Kenya,Head of Household,Yes,Urban,Married/Living together
1.0,2018.0,65.0,Self employed,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
3.0,2018.0,30.0,Formally employed Private,Male,Secondary education,Kenya,Head of Household,Yes,Urban,Married/Living together
5.0,2018.0,74.0,Remittance Dependent,Male,Vocational/Specialised training,Kenya,Head of Household,Yes,Rural,Married/Living together
5.0,2018.0,36.0,Informally employed,Female,Primary education,Kenya,Head of Household,Yes,Rural,Widowed
2.0,2018.0,28.0,Formally employed Private,Male,Tertiary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
2.0,2018.0,22.0,Informally employed,Male,Vocational/Specialised training,Kenya,Other relative,Yes,Urban,Single/Never Married
3.0,2018.0,17.0,Remittance Dependent,Female,Secondary education,Kenya,Child,No,Urban,Single/Never Married
1.0,2018.0,58.0,Self employed,Female,Primary education,Kenya,Head of Household,Yes,Urban,Divorced/Seperated
1.0,2018.0,34.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
9.0,2018.0,18.0,Remittance Dependent,Male,Primary education,Kenya,Child,No,Rural,Single/Never Married
3.0,2018.0,20.0,Remittance Dependent,Female,Primary education,Kenya,Other relative,Yes,Rural,Single/Never Married
7.0,2018.0,85.0,Remittance Dependent,Female,Primary education,Kenya,Parent,No,Rural,Widowed
1.0,2018.0,26.0,Self employed,Male,Primary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
6.0,2018.0,25.0,Farming and Fishing,Female,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
5.0,2018.0,26.0,Farming and Fishing,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
4.0,2018.0,30.0,Self employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
4.0,2018.0,38.0,Informally employed,Female,No formal education,Kenya,Head of Household,Yes,Urban,Widowed
3.0,2018.0,17.0,Remittance Dependent,Male,Primary education,Kenya,Child,Yes,Urban,Single/Never Married
4.0,2018.0,47.0,Informally employed,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
4.0,2018.0,50.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,16.0,Remittance Dependent,Female,Primary education,Kenya,Child,No,Rural,Single/Never Married
1.0,2018.0,24.0,Self employed,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,35.0,Formally employed Private,Male,Primary education,Kenya,Head of Household,Yes,Rural,Single/Never Married
12.0,2018.0,34.0,Remittance Dependent,Female,No formal education,Kenya,Spouse,Yes,Urban,Married/Living together
5.0,2018.0,42.0,Self employed,Male,Primary education,Kenya,Spouse,Yes,Urban,Married/Living together
1.0,2018.0,40.0,Self employed,Female,Primary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
7.0,2018.0,37.0,Farming and Fishing,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
2.0,2018.0,18.0,Remittance Dependent,Male,Primary education,Kenya,Child,No,Rural,Single/Never Married
3.0,2018.0,19.0,Other Income,Male,Secondary education,Kenya,Child,Yes,Rural,Single/Never Married
1.0,2018.0,27.0,Informally employed,Female,Primary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
4.0,2018.0,90.0,Government Dependent,Male,No formal education,Kenya,Head of Household,No,Rural,Widowed
4.0,2018.0,20.0,Informally employed,Female,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,24.0,Informally employed,Male,Secondary education,Kenya,Head of Household,No,Rural,Single/Never Married
4.0,2018.0,67.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
2.0,2018.0,47.0,Self employed,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
3.0,2018.0,64.0,Farming and Fishing,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
4.0,2018.0,64.0,Farming and Fishing,Female,Primary education,Kenya,Head of Household,Yes,Urban,Widowed
8.0,2018.0,40.0,Farming and Fishing,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,50.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,29.0,Informally employed,Female,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
1.0,2018.0,35.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Divorced/Seperated
3.0,2018.0,45.0,Self employed,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,88.0,Other Income,Male,Other/Dont know/RTA,Kenya,Head of Household,No,Rural,Married/Living together
5.0,2018.0,37.0,Farming and Fishing,Female,Vocational/Specialised training,Kenya,Spouse,Yes,Rural,Married/Living together
5.0,2018.0,22.0,Formally employed Private,Female,Vocational/Specialised training,Kenya,Child,Yes,Rural,Single/Never Married
1.0,2018.0,21.0,Informally employed,Female,Secondary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
5.0,2018.0,52.0,Informally employed,Male,Vocational/Specialised training,Kenya,Child,Yes,Rural,Married/Living together
4.0,2018.0,60.0,Farming and Fishing,Female,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
8.0,2018.0,47.0,Self employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,45.0,Self employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Divorced/Seperated
4.0,2018.0,27.0,Informally employed,Female,Primary education,Kenya,Spouse,No,Urban,Married/Living together
2.0,2018.0,30.0,Remittance Dependent,Male,Secondary education,Kenya,Child,No,Urban,Single/Never Married
4.0,2018.0,17.0,Informally employed,Female,Primary education,Kenya,Head of Household,Yes,Rural,Single/Never Married
5.0,2018.0,56.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Widowed
1.0,2018.0,20.0,Remittance Dependent,Female,Tertiary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
4.0,2018.0,36.0,Farming and Fishing,Female,Secondary education,Kenya,Spouse,Yes,Urban,Married/Living together
7.0,2018.0,38.0,Self employed,Female,Secondary education,Kenya,Spouse,Yes,Urban,Married/Living together
4.0,2018.0,35.0,Informally employed,Female,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
5.0,2018.0,17.0,Remittance Dependent,Female,Secondary education,Kenya,Child,No,Rural,Single/Never Married
4.0,2018.0,35.0,Informally employed,Female,Secondary education,Kenya,Head of Household,Yes,Urban,Divorced/Seperated
6.0,2018.0,32.0,Informally employed,Female,No formal education,Kenya,Spouse,No,Rural,Married/Living together
1.0,2018.0,25.0,Formally employed Government,Female,Secondary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
3.0,2018.0,60.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
7.0,2018.0,45.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
5.0,2018.0,42.0,Informally employed,Female,Secondary education,Kenya,Head of Household,Yes,Urban,Widowed
4.0,2018.0,17.0,Remittance Dependent,Female,Secondary education,Kenya,Child,No,Urban,Single/Never Married
5.0,2018.0,28.0,Farming and Fishing,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,18.0,Self employed,Male,Vocational/Specialised training,Kenya,Child,Yes,Urban,Single/Never Married
8.0,2018.0,42.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
5.0,2018.0,47.0,Remittance Dependent,Female,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
5.0,2018.0,42.0,Informally employed,Female,Primary education,Kenya,Head of Household,Yes,Urban,Widowed
3.0,2018.0,56.0,Farming and Fishing,Male,Secondary education,Kenya,Head of Household,No,Rural,Married/Living together
6.0,2018.0,58.0,Remittance Dependent,Female,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
2.0,2018.0,21.0,Informally employed,Female,Primary education,Kenya,Spouse,Yes,Urban,Married/Living together
5.0,2018.0,22.0,Remittance Dependent,Male,Secondary education,Kenya,Child,Yes,Rural,Single/Never Married
1.0,2018.0,37.0,Self employed,Female,Secondary education,Kenya,Head of Household,No,Urban,Single/Never Married
2.0,2018.0,55.0,Farming and Fishing,Female,Primary education,Kenya,Spouse,Yes,Urban,Married/Living together
2.0,2018.0,40.0,Remittance Dependent,Female,Primary education,Kenya,Spouse,Yes,Urban,Married/Living together
4.0,2018.0,42.0,Self employed,Male,Vocational/Specialised training,Kenya,Head of Household,Yes,Urban,Married/Living together
3.0,2018.0,20.0,Remittance Dependent,Male,Secondary education,Kenya,Other relative,Yes,Rural,Single/Never Married
8.0,2018.0,44.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,40.0,Other Income,Female,Primary education,Kenya,Spouse,Yes,Urban,Married/Living together
4.0,2018.0,30.0,Remittance Dependent,Female,Primary education,Kenya,Spouse,Yes,Urban,Married/Living together
3.0,2018.0,70.0,Informally employed,Female,Primary education,Kenya,Spouse,No,Rural,Married/Living together
2.0,2018.0,60.0,Informally employed,Female,No formal education,Kenya,Head of Household,No,Rural,Married/Living together
1.0,2018.0,65.0,Self employed,Male,Primary education,Kenya,Head of Household,No,Rural,Divorced/Seperated
8.0,2018.0,30.0,Self employed,Female,No formal education,Kenya,Head of Household,Yes,Urban,Married/Living together
3.0,2018.0,68.0,Farming and Fishing,Female,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,75.0,Self employed,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
4.0,2018.0,55.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,No,Urban,Single/Never Married
5.0,2018.0,48.0,Self employed,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,77.0,Formally employed Private,Female,No formal education,Kenya,Head of Household,Yes,Rural,Single/Never Married
1.0,2018.0,35.0,Formally employed Government,Male,Vocational/Specialised training,Kenya,Head of Household,Yes,Rural,Divorced/Seperated
1.0,2018.0,23.0,Informally employed,Female,Secondary education,Kenya,Head of Household,No,Urban,Single/Never Married
1.0,2018.0,61.0,Farming and Fishing,Female,Primary education,Kenya,Head of Household,Yes,Rural,Widowed
5.0,2018.0,35.0,Formally employed Private,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,18.0,Remittance Dependent,Male,Secondary education,Kenya,Other relative,No,Rural,Single/Never Married
4.0,2018.0,21.0,Remittance Dependent,Female,Primary education,Kenya,Other relative,No,Rural,Married/Living together
8.0,2018.0,38.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
2.0,2018.0,26.0,Formally employed Private,Male,Secondary education,Kenya,Spouse,Yes,Urban,Married/Living together
6.0,2018.0,23.0,Informally employed,Female,Primary education,Kenya,Spouse,Yes,Urban,Married/Living together
5.0,2018.0,53.0,Informally employed,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,38.0,Formally employed Government,Female,Tertiary education,Kenya,Spouse,Yes,Urban,Married/Living together
6.0,2018.0,44.0,Formally employed Government,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
2.0,2018.0,26.0,Informally employed,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Single/Never Married
3.0,2018.0,23.0,Remittance Dependent,Female,Secondary education,Kenya,Spouse,Yes,Urban,Married/Living together
5.0,2018.0,28.0,Formally employed Private,Female,Tertiary education,Kenya,Child,Yes,Rural,Single/Never Married
1.0,2018.0,84.0,Remittance Dependent,Male,Primary education,Kenya,Head of Household,No,Rural,Widowed
6.0,2018.0,85.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,72.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Widowed
8.0,2018.0,18.0,Informally employed,Male,Primary education,Kenya,Child,Yes,Rural,Single/Never Married
2.0,2018.0,29.0,Formally employed Private,Female,Tertiary education,Kenya,Spouse,Yes,Urban,Married/Living together
2.0,2018.0,82.0,Remittance Dependent,Female,No formal education,Kenya,Head of Household,No,Urban,Widowed
5.0,2018.0,40.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
2.0,2018.0,48.0,Farming and Fishing,Female,No formal education,Kenya,Spouse,No,Rural,Married/Living together
9.0,2018.0,30.0,Farming and Fishing,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
5.0,2018.0,35.0,Formally employed Government,Male,Tertiary education,Kenya,Head of Household,Yes,Urban,Married/Living together
3.0,2018.0,25.0,Formally employed Private,Female,Primary education,Kenya,Spouse,Yes,Urban,Married/Living together
3.0,2018.0,47.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
7.0,2018.0,26.0,Informally employed,Female,Primary education,Kenya,Other relative,Yes,Rural,Married/Living together
3.0,2018.0,84.0,Remittance Dependent,Female,Primary education,Kenya,Head of Household,No,Rural,Widowed
5.0,2018.0,38.0,Informally employed,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
4.0,2018.0,19.0,Informally employed,Male,Secondary education,Kenya,Child,Yes,Rural,Single/Never Married
6.0,2018.0,40.0,Farming and Fishing,Female,Primary education,Kenya,Spouse,No,Rural,Married/Living together
3.0,2018.0,26.0,Remittance Dependent,Female,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
3.0,2018.0,26.0,Farming and Fishing,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
5.0,2018.0,64.0,Farming and Fishing,Female,Primary education,Kenya,Head of Household,Yes,Rural,Widowed
4.0,2018.0,64.0,Farming and Fishing,Female,Primary education,Kenya,Spouse,No,Rural,Married/Living together
3.0,2018.0,74.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,53.0,Farming and Fishing,Female,Primary education,Kenya,Spouse,No,Urban,Married/Living together
2.0,2018.0,36.0,Informally employed,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
7.0,2018.0,43.0,Formally employed Private,Male,Secondary education,Kenya,Spouse,Yes,Urban,Single/Never Married
5.0,2018.0,28.0,Informally employed,Female,Primary education,Kenya,Spouse,No,Urban,Married/Living together
4.0,2018.0,40.0,Informally employed,Female,No formal education,Kenya,Head of Household,Yes,Rural,Divorced/Seperated
4.0,2018.0,44.0,Farming and Fishing,Female,Secondary education,Kenya,Child,Yes,Rural,Single/Never Married
3.0,2018.0,18.0,Remittance Dependent,Female,Secondary education,Kenya,Child,No,Rural,Single/Never Married
5.0,2018.0,60.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,70.0,Remittance Dependent,Female,No formal education,Kenya,Head of Household,No,Urban,Widowed
3.0,2018.0,28.0,Remittance Dependent,Female,Secondary education,Kenya,Spouse,Yes,Urban,Married/Living together
6.0,2018.0,30.0,Informally employed,Male,Primary education,Kenya,Child,Yes,Rural,Single/Never Married
8.0,2018.0,56.0,Formally employed Government,Male,Vocational/Specialised training,Kenya,Head of Household,Yes,Rural,Married/Living together
7.0,2018.0,30.0,Informally employed,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
8.0,2018.0,30.0,Informally employed,Male,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
4.0,2018.0,35.0,Farming and Fishing,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
6.0,2018.0,38.0,Farming and Fishing,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
2.0,2018.0,22.0,Farming and Fishing,Female,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,38.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
2.0,2018.0,49.0,Farming and Fishing,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
3.0,2018.0,71.0,Informally employed,Female,No formal education,Kenya,Spouse,No,Urban,Married/Living together
1.0,2018.0,56.0,Farming and Fishing,Female,Vocational/Specialised training,Kenya,Head of Household,Yes,Urban,Married/Living together
1.0,2018.0,60.0,Remittance Dependent,Female,No formal education,Kenya,Head of Household,No,Rural,Widowed
3.0,2018.0,27.0,Remittance Dependent,Female,Secondary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
4.0,2018.0,52.0,Self employed,Female,No formal education,Kenya,Head of Household,Yes,Rural,Widowed
4.0,2018.0,54.0,Self employed,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,64.0,Farming and Fishing,Female,Primary education,Kenya,Head of Household,Yes,Rural,Widowed
4.0,2018.0,28.0,Formally employed Private,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
1.0,2018.0,50.0,Formally employed Government,Male,Tertiary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,43.0,Farming and Fishing,Male,No formal education,Kenya,Head of Household,Yes,Rural,Married/Living together
2.0,2018.0,27.0,Self employed,Female,Vocational/Specialised training,Kenya,Head of Household,Yes,Rural,Married/Living together
4.0,2018.0,69.0,Farming and Fishing,Female,No formal education,Kenya,Head of Household,No,Rural,Widowed
3.0,2018.0,29.0,Self employed,Male,Primary education,Kenya,Other relative,No,Rural,Married/Living together
5.0,2018.0,30.0,Informally employed,Female,Primary education,Kenya,Spouse,Yes,Urban,Married/Living together
1.0,2018.0,25.0,Informally employed,Male,Secondary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
2.0,2018.0,89.0,Government Dependent,Female,Primary education,Kenya,Head of Household,No,Urban,Widowed
6.0,2018.0,20.0,Farming and Fishing,Female,No formal education,Kenya,Other relative,Yes,Rural,Married/Living together
4.0,2018.0,25.0,Farming and Fishing,Female,No formal education,Kenya,Head of Household,No,Rural,Divorced/Seperated
7.0,2018.0,17.0,Remittance Dependent,Female,Secondary education,Kenya,Child,No,Rural,Single/Never Married
5.0,2018.0,40.0,Formally employed Government,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
1.0,2018.0,43.0,Formally employed Private,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
7.0,2018.0,19.0,Remittance Dependent,Male,Vocational/Specialised training,Kenya,Child,Yes,Rural,Single/Never Married
3.0,2018.0,20.0,Informally employed,Female,No formal education,Kenya,Spouse,No,Rural,Married/Living together
7.0,2018.0,55.0,Informally employed,Male,No formal education,Kenya,Head of Household,No,Rural,Married/Living together
4.0,2018.0,95.0,Remittance Dependent,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
5.0,2018.0,30.0,Remittance Dependent,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
7.0,2018.0,56.0,Farming and Fishing,Female,No formal education,Kenya,Head of Household,No,Rural,Widowed
1.0,2018.0,46.0,Informally employed,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Widowed
4.0,2018.0,20.0,Farming and Fishing,Female,No formal education,Kenya,Spouse,No,Rural,Married/Living together
1.0,2018.0,42.0,Formally employed Government,Female,Vocational/Specialised training,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,35.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Divorced/Seperated
3.0,2018.0,24.0,Informally employed,Male,Primary education,Kenya,Child,Yes,Rural,Single/Never Married
4.0,2018.0,40.0,Self employed,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
3.0,2018.0,32.0,Formally employed Government,Female,Tertiary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,24.0,Informally employed,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
1.0,2018.0,21.0,Remittance Dependent,Male,Tertiary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
4.0,2018.0,19.0,Remittance Dependent,Male,Secondary education,Kenya,Child,Yes,Rural,Single/Never Married
2.0,2018.0,70.0,Farming and Fishing,Female,Primary education,Kenya,Head of Household,No,Rural,Widowed
1.0,2018.0,58.0,Farming and Fishing,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
